***begin of header***
date&time [local time];serial-no;type;PM10 [ug/m3];PM2,5 [ug/m3];PM1 [ug/m3];0,35 [um];0,46 [um];0,66 [um];1,0 [um];1,3 [um];1,7 [um];2,3 [um];3,0 [um];4,0 [um];5,2 [um];6,5 [um];8,0 [um];10 [um];12 [um];14 [um];16 [um];18 [um];20 [um];22 [um];25 [um];28 [um];31 [um];34 [um];37 [um];serial-OPC;T-out [°C];T-aerosol [°C];rH [%];date&time [UTC];longitude [°];latitude [°];height [m];time-resolution [s];software-version;last calibration [local time];configuration version
***end of header***

2019-07-07 00:58:49;SN19011;measure;0,99;0,82;0,54;424;25;6;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,7;2019-07-06 22:58:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 00:59:49;SN19011;measure;0,84;0,82;0,60;475;26;8;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 22:59:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:00:49;SN19011;measure;0,84;0,82;0,60;448;37;10;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 23:00:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:01:49;SN19011;measure;2,71;0,99;0,58;457;27;12;2;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 23:01:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:02:49;SN19011;measure;1,36;0,90;0,63;509;29;7;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 23:02:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:03:49;SN19011;measure;0,72;0,68;0,56;445;29;10;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 23:03:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:04:49;SN19011;measure;1,03;0,84;0,54;418;28;2;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 23:04:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:05:49;SN19011;measure;0,86;0,71;0,57;464;31;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,9;2019-07-06 23:05:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:06:49;SN19011;measure;1,05;0,90;0,62;479;24;12;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,8;2019-07-06 23:06:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:07:49;SN19011;measure;0,81;0,79;0,59;476;25;10;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,9;2019-07-06 23:07:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:08:49;SN19011;measure;0,91;0,77;0,52;445;13;7;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,9;2019-07-06 23:08:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:09:49;SN19011;measure;1,06;0,85;0,53;477;23;2;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,9;2019-07-06 23:09:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:10:49;SN19011;measure;1,07;0,86;0,54;445;30;6;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,9;2019-07-06 23:10:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:11:49;SN19011;measure;2,14;0,95;0,56;442;22;11;0;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,9;2019-07-06 23:11:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:12:49;SN19011;measure;1,57;1,16;0,56;429;30;7;2;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,9;2019-07-06 23:12:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:13:49;SN19011;measure;1,19;0,90;0,57;472;15;7;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,9;2019-07-06 23:13:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:14:49;SN19011;measure;1,34;0,83;0,56;453;19;8;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,8;30,8;20,9;2019-07-06 23:14:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:15:49;SN19011;measure;2,99;1,40;0,59;452;20;6;2;6;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,8;30,8;20,9;2019-07-06 23:15:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:16:49;SN19011;measure;1,22;1,07;0,58;457;16;8;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,9;30,9;20,9;2019-07-06 23:16:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:17:49;SN19011;measure;0,84;0,80;0,58;498;21;5;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,8;30,8;20,9;2019-07-06 23:17:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:18:49;SN19011;measure;0,93;0,78;0,56;456;26;8;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,8;30,8;20,9;2019-07-06 23:18:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:19:49;SN19011;measure;0,99;0,93;0,60;447;22;8;4;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,8;30,8;20,9;2019-07-06 23:19:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:20:49;SN19011;measure;1,26;0,96;0,61;463;29;6;4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,8;30,8;21,0;2019-07-06 23:20:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
2019-07-07 01:21:49;SN19011;measure;1,26;1,05;0,61;476;22;6;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177340907;30,8;30,8;21,0;2019-07-06 23:21:49;E10,896997;N48,335743;H587;60;SW V3-1 (2019-07-03);2019-06-11 14:16:04;original set-up
