
***begin of header***
date&time [local time];type;PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];CalPM10;CalPM4;CalPM2.5;CalPM1;T-fact;T-out [°C];T-aerosol[°C];rH [%];status;date&time [UTC];longitude;lattitude;height [m];serial-no;time-resolution;software-version;cell-no;last calibration [local time]
***end of header***

2020-08-17 03:05:00;measure;0,0;0,0;0,0;0,0;1,1;1,2;1,1;1,1;0,8;24,7;33,3;34,6;800,0;2020-08-17 01:04:27;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:10:00;measure;2,8;2,8;2,7;2,0;1,1;1,2;1,1;1,1;0,8;24,8;33,9;34,0;800,0;2020-08-17 01:09:27;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:15:00;measure;2,7;2,7;2,4;1,9;1,1;1,2;1,1;1,1;0,8;24,7;33,7;34,1;800,0;2020-08-17 01:14:28;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:20:00;measure;2,8;2,8;2,5;1,9;1,1;1,2;1,1;1,1;0,8;24,9;33,5;34,4;800,0;2020-08-17 01:19:28;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:25:00;measure;2,4;2,4;2,3;1,9;1,1;1,2;1,1;1,1;0,8;24,8;33,5;33,6;800,0;2020-08-17 01:24:28;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:30:00;measure;2,4;2,4;2,2;1,7;1,1;1,2;1,1;1,1;0,8;24,4;33,3;33,5;800,0;2020-08-17 01:29:28;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:35:00;measure;2,0;2,0;2,0;1,5;1,1;1,2;1,1;1,1;0,8;23,8;33,1;33,9;800,0;2020-08-17 01:34:28;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:40:00;measure;1,8;1,8;1,8;1,3;1,1;1,2;1,1;1,1;0,8;23,9;32,9;33,9;800,0;2020-08-17 01:39:29;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:45:00;measure;1,6;1,6;1,6;1,1;1,1;1,2;1,1;1,1;0,8;23,9;32,8;34,1;800,0;2020-08-17 01:44:29;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 03:50:00;measure;1,2;1,2;1,2;0,5;1,1;1,2;1,1;1,1;0,8;24,2;32,7;34,3;800,0;2020-08-17 01:49:29;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
